"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"num.32","Oil and gas refining (n = 107)",39,68,0.573529411764706,-1.12652911804018,0.991351984832468,0.0556761923597166,46.698263791655,60.301736208345,0.835148822106087,1.12766239043362
"num.3","Biopiracy and bio-prospection (n = 11)",4,7,0.571428571428571,-0.365464695628706,0.321610995753053,0.735722668463311,4.80075609073089,6.19924390926911,0.833202088255024,1.12916996047431
"num.38","REDD/CDM (n = 72)",26,46,0.565217391304348,-0.967442920480979,0.85135523269868,0.114236905836103,31.4231307756931,40.5768692243069,0.827415962642142,1.13365079365079
"num.36","Pollution related to transport (spills, dust, emissions) (n = 190)",68,122,0.557377049180328,-1.63868750318162,1.442054255664,0.00460610561075543,82.922150658079,107.077849341921,0.820046265808892,1.13935796011769
"num","Agro-fuels and biomass energy plants (n = 57)",20,37,0.540540540540541,-0.977744211282317,0.860420426770192,0.125934423931972,24.8766451974237,32.1233548025763,0.803966927263619,1.15180995968181
"num.6","Climate change related conflicts (glaciers and small islands) (n = 24)",8,16,0.5,-0.764542721131092,0.672801911592924,0.297564149636994,10.474376925231,13.525623074769,0.763768580900439,1.18293995859213
"num.13","Gas flaring (n = 30)",10,20,0.5,-0.854784748075894,0.752215404856791,0.225587588014994,13.0929711565388,16.9070288434612,0.763768580900439,1.18293995859213
"num.26","Military installations (n = 33)",11,22,0.5,-0.896505807062891,0.788930172343695,0.197348032349537,14.4022682721927,18.5977317278073,0.763768580900439,1.18293995859213
"num.45","Uranium extraction (n = 48)",15,33,0.454545454545455,-1.29971132155355,1.14375330179915,0.0552462340847658,20.9487538504621,27.0512461495379,0.716033044594161,1.21990683229814
"num.28","Mineral processing (n = 234)",73,161,0.453416149068323,-2.88205415360569,2.5362239287185,3.2865759760023e-06,102.125175021003,131.874824978997,0.714809056483744,1.2208547008547
"num.27","Mineral ore exploration (n = 497)",139,358,0.388268156424581,-5.28979922665439,4.65505318835623,2.02320994263937e-18,216.906888826659,280.093111173341,0.640827964256505,1.2781463938913
"num.31","Oil and gas exploration and extraction (n = 290)",81,209,0.38755980861244,-4.05021048978785,3.56420810056439,1.36891245558619e-10,126.565387846542,163.434612153458,0.639985397099333,1.27879888627115
"num.41","Tailings from mines (n = 240)",57,183,0.311475409836066,-4.66501026195327,4.10523537154257,1.00384993542895e-12,104.74376925231,135.25623074769,0.544185113891562,1.35298757763975
"num.15","GMOs (n = 29)",4,25,0.16,-2.43325039202349,2.14127408435157,0.000944528769641034,12.6565387846542,16.3434612153458,0.316042171407078,1.52966373955879
